"Run","Model","Dataset","Train_RMSE","Train_MAE","Train_R2","Test_RMSE","Test_MAE","Test_R2"
2,"M5E","cali_housing",0.0826825907793884,0.0528172627006841,0.879997776352446,0.0938743073416803,0.0583939470667469,0.843874049523946
2,"M5","CASP",0.196415085964083,0.135451862949537,0.544227514190792,0.212235282311684,0.145261460619213,0.483110717772034
2,"M5E","CASP",0.174801937764142,0.123435957174491,0.639013544917867,0.190061103982061,0.133507354816518,0.585476787171978
2,"M5","elevators",0.0333050290204603,0.0239495750310757,0.892479405968584,0.0331506331820586,0.0237394660686807,0.903076073905477
2,"M5E","elevators",0.0317789787463065,0.0231338109689949,0.902106941979796,0.0324136116445764,0.0231969682503507,0.907337888815417
2,"M5","fried",0.0328385026311974,0.0260690870708506,0.956720011771946,0.0332426485243713,0.0264110597694763,0.953876560486213
2,"M5E","fried",0.0313264476204014,0.0248921001536966,0.960613921648475,0.0318308410370068,0.0252250713669634,0.957711071835792
2,"M5","machine",0.0292105055666879,0.0175027603140509,0.942093328183663,0.0565930459060644,0.03731732016586,0.932903314266704
2,"M5E","machine",0.0310102550484272,0.018159283796799,0.934737886595624,0.040349015407727,0.0261857649219935,0.965893212601189
2,"M5","MV",0.00031191596521885,0.000134547346992058,0.999998234065204,0.000302513163067506,0.000135467541623277,0.99999835426572
2,"M5E","MV",0.000257995336496882,0.000124128816018516,0.999998791843578,0.000262513088567966,0.000126342138691969,0.9999987607096
2,"M5","servo",0.0355445179134237,0.0177989476386041,0.972788077194103,0.0891621050376546,0.0439117421945266,0.906505879974283
2,"M5E","servo",0.0355445179134237,0.0177989476386041,0.972788077194103,0.0891621050376546,0.0439117421945266,0.906505879974283
3,"M5","abalone",0.074876451686893,0.0519375251471109,0.578263923235213,0.0791194626852489,0.0557222321186462,0.515695226868643
3,"M5E","abalone",0.0752451469664533,0.0523860323365774,0.574100399923562,0.079271737967427,0.0558113555996205,0.51382922293589
3,"M5","auto",0.0714352230032092,0.0509167959903862,0.880956284916274,0.0843247728892334,0.0692613311091604,0.843858065651685
3,"M5E","auto",0.0689607308621064,0.0486579123813788,0.889060712253114,0.0894155426698374,0.0669088668783896,0.824436096575286
3,"M5","bos_housing",0.0621904527047489,0.0416019510638022,0.908057292933764,0.102299990873344,0.0582965105194152,0.785651216781802
3,"M5E","bos_housing",0.0515877797222029,0.0380690970524072,0.936734998361576,0.0798419585706507,0.0550859601279489,0.869433369536606
3,"M5","cali_housing",0.0908906310017594,0.0585132236487382,0.853035060399043,0.109199604788587,0.0662409918910748,0.8018598418196
3,"M5E","cali_housing",0.0828506383307471,0.0527079349509682,0.877885504046737,0.0968114162491094,0.0605144899097174,0.844265971114341
3,"M5","CASP",0.197060823959556,0.137659318659475,0.541768672666464,0.208887127137616,0.147178962395218,0.486305458682012
3,"M5E","CASP",0.174332925806534,0.122602264304781,0.641372964779828,0.18930987895702,0.133524842625324,0.578081904207018
