run,rmse,popsize
54,2.1273221166302263,15
55,2.1269184966078973,15
56,2.126379680372594,15
57,2.1241850772428337,15
58,2.122727205193497,15
59,2.1211039815722126,15
60,2.1203472212409755,15
61,2.119632863578226,15
62,2.118655140894207,15
63,2.117377757789072,15
64,2.1168372562801254,15
65,2.11637787406918,15
66,2.1159268113345777,15
67,2.1157300076958223,15
68,2.1149075851591403,15
69,2.114030745794626,15
70,2.113165460560473,15
71,2.1121949809350573,15
72,2.111885603118361,15
73,2.1116221008125295,15
74,2.1113504474294214,15
75,2.111311511706884,15
76,2.1109072198703243,15
77,2.109989788334819,15
78,2.1095346623563147,15
79,2.109146984117144,15
80,2.10893704349033,15
81,2.108930543938185,15
82,2.1086823311039935,15
83,2.1083897753975673,15
84,2.1071121726653295,15
85,2.106908966752256,15
86,2.10602424587419,15
87,2.105813583511699,15
88,2.1052709046670546,15
89,2.1050159498546703,15
90,2.104787429125806,15
91,2.1047512205188084,15
92,2.104383923363661,15
93,2.1039074355767147,15
94,2.1032373256420227,15
95,2.1030436535138284,15
96,2.102605527863029,15
97,2.102029084138749,15
98,2.1016541787499885,15
99,2.100751604863888,15
0,2.252943302585327,20
1,2.2465980742402336,20
2,2.241966862029375,20
3,2.2345276355680155,20
4,2.230281478745685,20
5,2.2215377283062683,20
6,2.2141608324257476,20
7,2.2065198888832365,20
8,2.2008534612539723,20
9,2.1971853169311566,20
10,2.192383833637488,20
11,2.189529378809082,20
12,2.18472416645985,20
13,2.1829892887073545,20
14,2.1808552060038924,20
15,2.1778191651868424,20
16,2.174452594151529,20
17,2.172395864292203,20
18,2.1682336588463422,20
19,2.1671571527843785,20
20,2.164159018096081,20
21,2.162170915570166,20
22,2.1606239078992333,20
23,2.158010401215376,20
24,2.1571384454201175,20
25,2.155852737461255,20
26,2.1550778396198904,20
27,2.1535316225768586,20
28,2.151544534100231,20
29,2.1500777516261405,20
30,2.147008058254256,20
31,2.1453709602617206,20
32,2.1439771694724206,20
33,2.14334754955006,20
34,2.1410118980805293,20
35,2.1397085958670137,20
36,2.138528802267603,20
37,2.137466469370257,20
38,2.135320734657929,20
39,2.133956100394455,20
40,2.1323288261699456,20
41,2.13082485055795,20
42,2.129683563244299,20
43,2.129304435462433,20
44,2.1284524509788363,20
45,2.1260397884356297,20
46,2.1252008969188423,20
47,2.124018162022431,20
48,2.123105062462111,20
49,2.1221430402544508,20
50,2.1212644768163136,20
51,2.1208240705419494,20
52,2.1190494522234906,20
53,2.1175565641524607,20
54,2.116655988698462,20
55,2.115557948016654,20
56,2.1153142167135424,20
57,2.114375341793013,20
58,2.113368994598049,20
59,2.1125546802407045,20
60,2.1122017713091568,20
61,2.111311643851347,20
62,2.1111128089272904,20
63,2.109754321071793,20
64,2.109122446317099,20
65,2.1089184988872964,20
66,2.1080299923092007,20
67,2.1070518211089104,20
68,2.105573417125351,20
69,2.1050215969556674,20
70,2.1044841508022936,20
71,2.104083355080944,20
72,2.1035609690179466,20
73,2.1023650634696174,20
74,2.1017880300515146,20
75,2.101417651346725,20
76,2.101101558815487,20
77,2.100952805737545,20
78,2.0999702410701393,20
79,2.0997172416932464,20
80,2.0988042762636123,20
81,2.0984731754273045,20
82,2.097822758835679,20
83,2.097568257129539,20
84,2.0974265901901945,20
85,2.0965882837900547,20
86,2.096330880824247,20
87,2.096322429630461,20
88,2.09592476977673,20
89,2.0953825625046245,20
90,2.0951984705527846,20
91,2.094855099355183,20
92,2.0938593331654705,20
93,2.0933997039051992,20
94,2.0930364727710766,20
95,2.0927557215434853,20
96,2.0925057635820923,20
97,2.0920171710501863,20
98,2.0918478352458574,20
99,2.0917326304616806,20
0,2.2366510646760642,25
1,2.2291155830583045,25
2,2.2222700113714526,25
3,2.2179830034969927,25
4,2.2119438691585005,25
5,2.2070709648502533,25
6,2.2025660355614183,25
7,2.193863250569909,25
